,TIC_ID,ra,dec,pmRA,pmDEC,plx,gallong,gallat,eclong,eclat,Tmag,Teff,logg,MH,rad,mass,rho,lum,d,ebv,numcont,contratio,priority
0,231663901,318.736915161395,-55.8717944482812,12.6409,-16.0111,2.63604,340.697786476389,-42.0737909015092,302.236289522646,-37.7554028753823,12.4069,5824.0,4.55972,,0.890774,1.05,1.48555,0.8224618,375.31,0.0333598,90.0,0.0844493359,0.0005656118
1,149603524,87.1399740872908,-63.988440787086,-15.6405,26.0463,5.66486,273.415812449388,-31.0335697980936,63.7531796047894,-87.1638479174296,9.7109,6391.0,4.37665,0.24,1.21427,1.28,0.714926,2.21616721,175.631,0.0202575,971.0,0.0163922813,0.00709071476
2,336732616,312.457438595966,-24.4287610609148,10.4255,15.6199,2.40421,21.2968606974153,-36.0718820310395,308.207997713277,-6.44425872753474,11.5232,6371.0,4.33006,,1.27616,1.27,0.611063,2.41733646,411.211,0.0446394,112.0,0.02309434,0.000414968876
3,231670397,319.949610769276,-58.1488869526779,10.5524,-10.6584,3.12923,337.503135077981,-42.1103254948997,301.882378327253,-40.1101654151515,9.8638,6124.0,3.81034,,2.21867,1.16,0.106213,6.237656,316.678,0.0302074,81.0,0.004832061,0.000772511761
4,144065872,337.457232403397,-48.0030692351396,91.9757,-6.86129,7.24182,346.133879623908,-55.5134814667069,319.330474674465,-35.4379359768234,9.4995,5758.0,4.2653,,1.23824,1.03,0.542529,1.51841652,137.544,0.00633788,55.0,0.003544509,0.00220979471
5,38846515,68.9597092399964,-64.0270368810381,10.8454,-0.49937,2.71534,275.107124300275,-38.8526337075915,6.32110961010616,-80.8978403729629,10.3157,6733.0,4.09825,,1.77457,1.44,0.257683,5.8306,364.411,0.0236859,87.0,0.06877991,0.0029050787
6,92352620,313.783102119552,-34.1355576898925,26.3761,-44.947,4.70676,9.65472669257593,-39.3784187221446,306.588820644278,-16.089861512176,9.6433,6072.6,4.0288,0.22,1.71036,1.14,0.227845,3.58402228,211.211,0.0462662,118.0,0.6378948,0.0009550342
7,289793076,316.961463152312,-26.0966760700183,3.47937,-10.313,2.34291,20.6491579369952,-40.4435610983319,311.676615315979,-9.19448416175423,13.163,5445.0,4.59896,,0.809868,0.95,1.78847,0.5194156,421.855,0.0488498,,,
8,29344935,313.215470373149,-25.6873330348218,1.05306,-9.88134,1.92119,20.0314201464295,-37.0832694432644,308.528104312719,-7.84233914019296,13.2366,5361.0,4.4198,,0.984866,0.93,0.973535,0.7218256,513.011,0.0535468,,,
9,281459670,5.61871679195764,-59.9425681624254,-22.3092,-4.89299,2.89407,309.554391826262,-56.8117270030021,329.017968665643,-54.4500766964881,11.6714,5750.4,4.32419,-0.1,1.15706,1.03,0.664921,1.3188585,342.14,0.0110207,47.0,2.93423557,0.000552396
